qubit,t1_us,t2_us,frequency_ghz
2026-06-07T05:14:13.824043+00:00,45,97.70268324932378,112.57778017142032,
2026-06-07T05:14:13.824043+00:00,46,133.40423822938052,57.39024959122826,
2026-06-07T05:14:13.824043+00:00,47,216.28227120321,159.903358559184,
2026-06-07T05:14:13.824043+00:00,48,296.92636502634383,262.08475773151207,
2026-06-07T05:14:13.824043+00:00,49,233.29845967092973,199.68799395558014,
2026-06-07T05:14:13.824043+00:00,50,273.3206209365892,192.03001462812864,
2026-06-07T05:14:13.824043+00:00,51,234.29471604680242,302.716086314472,
2026-06-07T05:14:13.824043+00:00,52,17.72155954210149,12.492788560335397,
2026-06-07T05:14:13.824043+00:00,53,298.1239580380718,342.29653876095,
2026-06-07T05:14:13.824043+00:00,54,268.645252371993,316.2177276473195,
2026-06-07T05:14:13.824043+00:00,55,91.0781829997039,45.19746661927317,
2026-06-07T05:14:13.824043+00:00,56,314.9301991238342,26.659423647752725,
2026-06-07T05:14:13.824043+00:00,57,154.13891695601518,100.99238337155639,
2026-06-07T05:14:13.824043+00:00,58,146.88278928654117,136.60818335752842,
2026-06-07T05:14:13.824043+00:00,59,162.67289690069182,170.63163336969208,
2026-06-07T05:14:13.824043+00:00,60,184.10188711714207,74.32037765634463,
2026-06-07T05:14:13.824043+00:00,61,392.1412666049215,287.7271179733569,
2026-06-07T05:14:13.824043+00:00,62,164.40510201651597,79.13088921389922,
2026-06-07T05:14:13.824043+00:00,63,137.91839989912157,110.89665455858525,
2026-06-07T05:14:13.824043+00:00,64,101.902763903984,47.8660761088017,
2026-06-07T05:14:13.824043+00:00,65,203.11857543140184,58.058325706143705,
2026-06-07T05:14:13.824043+00:00,66,141.2975861569883,94.44508800882086,
2026-06-07T05:14:13.824043+00:00,67,388.08763385081636,120.65998802364392,
2026-06-07T05:14:13.824043+00:00,68,133.777431636252,21.543187944816,
2026-06-07T05:14:13.824043+00:00,69,174.5410664471305,19.327706505747777,
2026-06-07T05:14:13.824043+00:00,70,150.14921930908005,19.856441274622313,
2026-06-07T05:14:13.824043+00:00,71,95.5707431235805,87.52276039572105,
2026-06-07T05:14:13.824043+00:00,72,105.48076027784847,19.802351209800822,
2026-06-07T05:14:13.824043+00:00,73,229.00681147780966,79.06025619789018,
2026-06-07T05:14:13.824043+00:00,74,124.01063273349206,14.172433751327423,
2026-06-07T05:14:13.824043+00:00,75,331.6772278456159,221.93741901363802,
2026-06-07T05:14:13.824043+00:00,76,85.31487390602163,52.477203514107,
2026-06-07T05:14:13.824043+00:00,77,244.68343919726996,93.96365753912097,
2026-06-07T05:14:13.824043+00:00,78,177.81970381762073,169.373728127101,
2026-06-07T05:14:13.824043+00:00,79,132.37252483354337,35.07806336088495,
2026-06-07T05:14:13.824043+00:00,80,151.31786902643054,43.432682340937276,
