qubit,t1_us,t2_us,readout_error,p_relax,p_dephase,p_readout,predicted_qber_linear,predicted_qber_rf,predicted_qber_nn
66,124.44413727215289,83.3233359447391,0.0076904296875,0.03130785610361348,0.05453026447075853,0.0076904296875,0.06264690515636481,0.0549287226503132,0.11253249934931542
67,199.85340638389903,108.06340523255548,0.0457763671875,0.014551178081144957,0.03900436291653902,0.0457763671875,0.07760483635391463,0.07463178893527182,0.10311427744805718
68,112.11462626677124,26.554733419470164,0.0186767578125,0.03619166124047494,0.19950783659263746,0.0186767578125,0.12803721385079164,0.1313667163470912,0.1504649555655198
69,144.76459739920367,79.69995313925811,0.0220947265625,0.025074155798062617,0.05761338652731055,0.0220947265625,0.07178015210715695,0.061153224612375726,0.11016425391383655
70,102.62182325486935,20.284840836675407,0.0107421875,0.04075141781683508,0.2652808537489371,0.0107421875,0.14932833104980642,0.1573085838660525,0.16965120642264142
71,129.83813693405503,126.82799756032423,0.05517578125,0.029462911255663797,0.03126782668891125,0.05517578125,0.08709998344546585,0.09127180172302722,0.10575612249437899
72,137.199175673119,44.4924621190959,0.0098876953125,0.02717923510880594,0.11371712301102019,0.0098876953125,0.08535295200701931,0.07823133230478714,0.12422782024250928
73,186.978990868996,194.62678821057,0.0177001953125,0.01645520175820143,0.0157473373405465,0.0177001953125,0.049256320818231704,0.03795114477523132,0.10332265415434855
74,109.02585329888636,14.019679542732677,0.0296630859375,0.037588169180807186,0.38976779017942276,0.0296630859375,0.2094666424700672,0.18118055490527904,0.19607765695292523
75,307.7424671068003,354.9009190330182,0.003662109375,0.004856628957451849,0.0026357610949290216,0.003662109375,0.02970154475718629,0.03133286435681148,0.1005987446872395
76,66.90475902084057,51.31560811008431,0.0118408203125,0.0695007795396746,0.09683022195368457,0.0118408203125,0.09649954764327456,0.09216748368142494,0.1344523138858295
77,295.62719410371915,120.83734288478524,0.010009765625,0.005592582808056586,0.03347664094997698,0.010009765625,0.046374709911239355,0.041383639999814294,0.10414457645083303
78,62.17233309473571,48.485380081034414,0.005615234375,0.0757882917076994,0.10325802198861775,0.005615234375,0.09690750125866168,0.09847448623631944,0.13796973597754375
79,143.1223953942333,39.57484829288871,0.14990234375,0.025512187763542957,0.12949868324898686,0.14990234375,0.19127740901000503,0.1526553581079218,0.13288034477655536
